Image,EM_CSF,EM_WM,EM_GM
1003,0.033587699639726534,0.8249818165122983,0.6416092108907704
1004,0.3991588223512918,0.8958235574515216,0.9334629144028929
1005,0.7476089003419396,0.8674991018943736,0.9212513388125451
1018,0.01215757480066314,0.8933454007313821,0.9317993867040782
1019,0.0324474330238019,0.8688685509715045,0.912227956082283
1023,0.0,0.8574383416380656,0.9186865448780801
1024,0.0005538631957906397,0.8987353130978337,0.938866405386842
1025,0.7315214782817374,0.8620257122961692,0.9222214797212592
1038,0.15576245596376448,0.8975664552460279,0.9324842079129898
1039,0.032294638741107135,0.8469792343945244,0.8699476246077208
1101,0.5461876832844574,0.8671266911534935,0.9223353710725822
1104,0.4231157987255548,0.8808224558760992,0.9322897061510387
1107,0.0,0.8589232187991911,0.9179068863183208
1110,0.3631228865519676,0.9112250800699984,0.9429818671950018
1113,0.0,0.7971028776511482,0.8862795957084213
1116,0.6147124017286195,0.8659285236165766,0.9178475541549429
1119,0.6840811090125085,0.811879481702381,0.8895702059625693
1122,0.6422005762107285,0.8722479458582497,0.9163151352873612
1125,0.7586373603605159,0.8352841238501286,0.8991380913995164
1128,0.41143470195123044,0.7068138221088334,0.8128590728266306
