Image,Position_CSF,Position_WM,Position_GM,Intensity_CSF,Intensity_WM,Intensity_GM,Combined_CSF,Combined_WM,Combined_GM
1003,0.6702606459270982,0.803041263590446,0.803078860159438,0.08451288863060893,0.8349653095328159,0.8090708208964602,0.30280406899601947,0.8747440812983919,0.9126608539330338
1004,0.8263841842704933,0.7911348221049292,0.7745501467977829,0.5956640013189349,0.8536218869866533,0.869237085151986,0.6652162843983613,0.9059159774869272,0.9218620770662466
1005,0.7470077768418578,0.7560027264914204,0.7565975790613703,0.8251344230976628,0.7940662840065901,0.8156482581861548,0.8450194944032198,0.860000108073252,0.8897142297266403
1018,0.8115737473535639,0.7984602700940933,0.8188429269755264,0.17712542409488927,0.9003830118149818,0.8737378767189479,0.6042230370464028,0.918315637065637,0.9455062859534696
1019,0.6999894659222585,0.7764778751303585,0.7815802633875084,0.1865693976805088,0.8562755575625298,0.8659914868633495,0.41458788366478905,0.911830969706627,0.9317886537122063
1023,0.6844270323212537,0.7923873530494666,0.7836360100924431,0.1406706165206938,0.9176066561558515,0.8947386529920803,0.3986921865304759,0.9285129913446976,0.9436108082853139
1024,0.8068068068068068,0.790646492434663,0.8052763651838005,0.4755298258141848,0.8085367954405249,0.8298492680436637,0.5228290428772977,0.8710906752543582,0.8943142628940278
1025,0.6725291570857415,0.7510420229563225,0.778056296185028,0.6340246893054574,0.8325027779616829,0.8415593327873575,0.8113451460331468,0.8872109735662104,0.9184312991115835
1038,0.8227134807108799,0.7999103736620571,0.8109670905217501,0.4225471182057785,0.8660448542212285,0.8774253109784733,0.6323375262054507,0.9143801091528936,0.9310608631273715
1039,0.720098643649815,0.7781175647305808,0.7815068734409474,0.12418539942886432,0.9225477895741886,0.8945528441283345,0.294488274268383,0.9267311932969351,0.9338303808178197
1101,0.8361129641983545,0.7820630070515405,0.7849676825925777,0.6442330903297446,0.8422728082658615,0.8632657920696654,0.6761185890996757,0.8967119389207081,0.9161702914444609
1104,0.8443014865687212,0.7959113451270428,0.816011480469697,0.18618986440158963,0.8814783595396336,0.8646172707163015,0.5735618590365912,0.9115637453158089,0.9424988936755639
1107,0.7887365472504791,0.8155543007716921,0.8308940824323214,0.10663756245556769,0.8560746033562789,0.7780931415233439,0.37377549722234,0.881348136911582,0.9072405100584102
1110,0.8010548523206751,0.8105494584063204,0.8078412199295641,0.2542645528133575,0.9145968213968161,0.8874601515492175,0.6912815719265447,0.9376589043851643,0.9570900824097756
1113,0.8025435245250122,0.8087762917091725,0.7926640363991602,0.46479005307278287,0.77757577929343,0.752584442546074,0.6061020295798447,0.8525825824781524,0.8629684323649986
1116,0.8175794166075421,0.7624168434644456,0.7684201033669592,0.495618038395037,0.7702541074121545,0.7306122175971034,0.708100914019533,0.8484149556194284,0.8649596205314247
1119,0.7770890156211258,0.7751459400105324,0.7382195304117313,0.6145171239305924,0.7918237847373285,0.757283577965629,0.5877880431693747,0.8686405316942758,0.8466955192987123
1122,0.8658633198515615,0.8055135422455242,0.7490246683257495,0.6249287079376832,0.7321838799779852,0.6736264985817063,0.872939392771332,0.8086492170345247,0.8272678782023307
1125,0.7864934285142438,0.7903080411917021,0.7533813041154888,0.6421010453491852,0.8331480628166846,0.8050387345751101,0.8637686678817225,0.8879648854305804,0.9063360286810439
1128,0.8358833032405207,0.7972144582393211,0.7221373726987117,0.3263001843534773,0.792249989841115,0.7958487174913248,0.8523717524352513,0.8992134309844634,0.9433695883775665
