Image,EM_CSF,EM_WM,EM_GM
1003,0.029606106597909576,0.7856285356263449,0.30144778517328435
1004,0.03880869410777607,0.769745013439702,0.1890196177337251
1005,0.7476089003419396,0.8674991018943736,0.9212513388125451
1018,0.04131369029073879,0.8197247043825462,0.2547755102040816
1019,0.03403816832263794,0.8258735287900044,0.4948671640664627
1023,0.031126903059149114,0.8209973393571924,0.3818903430234436
1024,0.033786491496546826,0.7838330822439293,0.21358385536499683
1025,0.7327486314780037,0.8669908030351371,0.924011496581793
1038,0.04989827193265864,0.8325342533658517,0.30404260728194854
1039,0.033562198487110506,0.7894495785085432,0.41086753564684725
1101,0.0,0.8069547252009628,0.8953561555518403
1104,0.053151121575432746,0.8175851541286211,0.38961861536105624
1107,0.05890515294241241,0.8075062630973577,0.4671360041066228
1110,0.06777021676442122,0.832842110843118,0.3777226445206124
1113,0.06368669427229853,0.7520853545102667,0.23377991201026704
1116,0.34515945330296127,0.8639310587788949,0.8437534560666321
1119,0.3048115086597824,0.7795543404847307,0.7003641738690889
1122,0.3048681876489689,0.8669440284018417,0.7858123550459839
1125,0.775948473168781,0.8415586854245074,0.9023701877619587
1128,0.2284206241138734,0.7597524903725739,0.6863929190223506
