Image,EM_CSF,EM_WM,EM_GM
1003,0.0,0.8276302610946862,0.9091140036126121
1004,0.5084153407523223,0.9259375450001028,0.9454867540759733
1005,0.7797804659065677,0.9110265992217743,0.933003681868329
1018,0.0,0.8895507271138294,0.9301366546052295
1019,0.0,0.9169502951765207,0.9464149609666406
1023,0.0,0.8982402082588633,0.936013776458661
1024,0.4875876541946051,0.9065349740374928,0.9362586512825302
1025,0.8434472024543189,0.9145475700126305,0.9437001259615894
1038,0.3935934202694659,0.9180915795016691,0.9412706127734377
1039,0.0,0.9022074685141159,0.9410515226676871
1101,0.61277802657113,0.9151693718896561,0.9400541237765244
1104,0.0,0.8543862847984297,0.9207637683718246
1107,0.06262388603290735,0.8539033325228993,0.8829760355065382
1110,0.0,0.9201155895997924,0.9433241082018646
1113,0.5130013512177438,0.88540251214165,0.9028064333456194
1116,0.5658887585566974,0.8817284433805047,0.8850871127206764
1119,0.8276181363622334,0.8475352616029734,0.8698326387459364
1122,0.7894450818187307,0.8047492083610416,0.8205533327474924
1125,0.7634036210600149,0.9052482642222605,0.9156956021102121
1128,0.3499166836496158,0.7373081969571875,0.7941193129866115
