Image,EM_CSF,EM_WM,EM_GM
1003,0.039464206622255825,0.9061284224647844,0.5677889925630522
1004,0.055155173508028406,0.8941367956854682,0.5188085416714145
1005,0.7217235188509874,0.9153081366766306,0.9287416375628729
1018,0.060151365914057175,0.9078658844015228,0.586177357133578
1019,0.040887504294079544,0.9106298207961302,0.6273715581290863
1023,0.03876315178364088,0.9029029352919923,0.5625449375846548
1024,0.04494574664835732,0.8999594167443083,0.49010370919760743
1025,0.5710686145334096,0.9127439909489525,0.9068178016020553
1038,0.06594765708396216,0.9070327663388384,0.5636101720286708
1039,0.04136717617538563,0.9036096477037562,0.5949298288672215
1101,0.10865258207269428,0.8923132115561475,0.6226686571792521
1104,0.06904607134151296,0.8941745827687735,0.5849244221755538
1107,0.06782906860739112,0.8860506863918827,0.5958111104001446
1110,0.0879708000760608,0.921337143982508,0.6111889067544974
1113,0.08941202050148461,0.8843001591890527,0.5807847604667309
1116,0.25108174330101135,0.9096820401081387,0.7906145617407928
1119,0.3055992606846855,0.8859166821358212,0.7352244208911317
1122,0.288546132858177,0.9083332158298926,0.7807090372638053
1125,0.528698229618055,0.8997753844381732,0.8592344856745163
1128,0.27222012390218064,0.8434120968678304,0.755757875479668
